,Rank,Gender,Age,Finish,Pace,Athlet url,Race url,Watch,Shoes,Distance,City,Year,Race Type,Watch Brand,Watch Error,Watch Error Abs,Shoes Brand,Finish Numeric
1,1,M,NA,2:21:01,3:21/km,17782492,1424554654,Garmin Forerunner 935,Asolo Hyperspeed,42.69,Tokyo,2018,Marathon,Garmin,0.49499999999999744,0.49499999999999744,Asolo,2.350277777777778
2,2,M,35-44,2:22:47,3:23/km,29053114,1463525603,NA,NA,42.54,Tokyo,2018,Marathon,NA,0.34499999999999886,0.34499999999999886,NA,2.379722222222222
3,3,M,NA,2:23:20,3:24/km,8565039,1424534979,Garmin Forerunner 235,NA,42.78,Tokyo,2018,Marathon,Garmin,0.5850000000000009,0.5850000000000009,NA,2.388888888888889
4,4,M,20-24,2:23:42,3:24/km,27506759,1424586950,Garmin Forerunner 935,NA,42.56,Tokyo,2018,Marathon,Garmin,0.365000000000002,0.365000000000002,NA,2.395
5,5,M,NA,2:23:43,3:24/km,628339,1424569853,Garmin Forerunner 620,NA,42.75,Tokyo,2018,Marathon,Garmin,0.5549999999999997,0.5549999999999997,NA,2.395277777777778
6,6,M,35-44,2:25:51,3:27/km,1149587,1424527633,Garmin fenix 5S,Nike Vaporfly 4% ,43.93,Tokyo,2018,Marathon,Garmin,1.7349999999999994,1.7349999999999994,Nike,2.430833333333333
7,7,M,45-54,2:27:32,3:30/km,2790938,1424653027,Garmin fenix 3,NA,41.28,Tokyo,2018,Marathon,Garmin,-0.9149999999999991,0.9149999999999991,NA,2.458888888888889
8,8,M,35-44,2:27:38,3:30/km,2959288,1424589993,TomTom,NA,42.84,Tokyo,2018,Marathon,TomTom,0.6450000000000031,0.6450000000000031,NA,2.4605555555555556
9,9,M,25-34,2:27:56,3:30/km,5974020,1424651757,Garmin Forerunner 620,NA,42.88,Tokyo,2018,Marathon,Garmin,0.6850000000000023,0.6850000000000023,NA,2.465555555555556
10,10,M,NA,2:28:52,3:32/km,14419395,1425761422,Garmin Forerunner 935,Saucony Fastwitch 8,43.07,Tokyo,2018,Marathon,Garmin,0.875,0.875,Saucony,2.4811111111111113
11,11,M,25-34,2:29:51,3:33/km,4815751,1426414356,Suunto Ambit3 Sport,Nike Zoom Vaporfly 4%,45.21,Tokyo,2018,Marathon,Suunto,3.0150000000000006,3.0150000000000006,Nike,2.4975
12,12,M,25-34,2:29:58,3:33/km,7304261,1424576788,Garmin Forerunner 735XT,NA,42.93,Tokyo,2018,Marathon,Garmin,0.7349999999999994,0.7349999999999994,NA,2.4994444444444444
13,13,M,25-34,2:30:57,3:35/km,6867938,1424572942,Garmin Forerunner 935,NA,42.53,Tokyo,2018,Marathon,Garmin,0.33500000000000085,0.33500000000000085,NA,2.515833333333333
14,14,NA,NA,2:31:23,3:35/km,19317815,1424605347,NA,NA,42.58,Tokyo,2018,Marathon,NA,0.384999999999998,0.384999999999998,NA,2.5230555555555556
15,15,M,45-54,2:31:55,3:36/km,2083287,1424541035,Garmin Forerunner 235,Nike Flyknit Racer ,42.64,Tokyo,2018,Marathon,Garmin,0.4450000000000003,0.4450000000000003,Nike,2.5319444444444446
16,16,M,NA,2:32:08,3:36/km,22814204,1424742893,Garmin Forerunner 220,NA,42.5,Tokyo,2018,Marathon,Garmin,0.3049999999999997,0.3049999999999997,NA,2.5355555555555553
17,17,M,NA,2:32:08,3:36/km,20478822,1458831892,Garmin Forerunner 210,NA,42.9,Tokyo,2018,Marathon,Garmin,0.7049999999999983,0.7049999999999983,NA,2.5355555555555553
18,18,M,NA,2:32:38,3:37/km,17720874,1424545724,Garmin Forerunner 230,NA,42.71,Tokyo,2018,Marathon,Garmin,0.5150000000000006,0.5150000000000006,NA,2.5438888888888886
